Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.71,0.80,0.40,0.89,0.65,0.28,0.57,0.52,0.40,0.87,0.65,0.64
Février,1.00,1.84,0.96,0.49,1.11,0.83,0.33,0.68,0.68,0.51,1.11,0.83,0.82
Mars,1.00,2.13,1.26,0.64,1.46,1.13,0.37,0.80,0.98,0.64,1.46,1.13,1.12
Avril,1.00,2.54,1.70,0.84,1.98,1.59,0.51,1.24,1.48,0.90,2.09,1.61,1.59
Mai,1.00,2.99,2.23,1.21,2.84,2.18,0.69,1.92,2.08,1.06,2.58,2.13,2.14
Juin,1.00,3.24,2.54,1.27,3.07,2.48,0.79,2.37,2.43,1.32,3.15,2.50,2.48
Juillet,1.00,3.17,2.43,1.23,2.96,2.37,0.74,2.16,2.30,1.20,2.92,2.36,2.35
Août,1.00,2.74,1.92,0.99,2.32,1.83,0.57,1.47,1.72,0.96,2.28,1.82,1.81
Septembre,1.00,2.24,1.35,0.63,1.47,1.19,0.36,0.82,1.06,0.75,1.67,1.24,1.21
Octobre,1.00,1.93,1.06,0.60,1.31,0.94,0.33,0.69,0.77,0.48,1.12,0.90,0.91
Novembre,1.00,1.79,0.92,0.54,1.17,0.81,0.35,0.74,0.66,0.42,0.96,0.77,0.78
Décembre,1.00,1.71,0.81,0.42,0.93,0.68,0.31,0.67,0.56,0.42,0.92,0.68,0.67
