# Nref (21°C) Altitude ≥ 800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier - 744 744 - - 744 744 744
Février - 672 672 - - 672 672 672
Mars - 744 744 - - 744 740 744
Avril - 624 717 - - 720 693 720
Mai - - 671 - - 684 590 542
Juin - - 96 - - 52 - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre - - 266 - - 70 258 -
Octobre - 518 732 - - 692 618 -
Novembre - 720 720 - - 720 720 672
Décembre - 744 744 - - 744 744 744

