# DH21 (°Ch) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 14688.4 13156.7 13829.2 12283.3 12095.8 12788.8 13007.7 12240.6
Février 12654.8 11562.7 12378.3 12090.9 12191.7 10569.0 11601.2 8719.2
Mars 10884.9 11177.8 10330.9 10206.4 10140.7 9385.1 9710.8 9039.1
Avril 8709.4 8706.2 7787.0 8742.9 8393.9 7623.4 6609.3 4174.9
Mai 5655.9 3533.3 4637.2 5724.0 5403.7 2504.8 108.6 -
Juin 2575.1 - 986.2 - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 4403.7 3655.5 2018.5 586.1 - - - -
Octobre 6393.3 6509.3 6634.5 7251.6 6772.0 5165.6 3454.7 199.2
Novembre 9738.6 11353.8 10593.5 9284.0 10261.9 9558.0 9658.1 8871.0
Décembre 12549.3 13428.5 13860.4 11655.6 12057.0 12511.9 12509.0 10630.7
