Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.67,0.77,0.43,0.92,0.64,0.31,0.66,0.52,0.40,0.85,0.63,0.62
Février,1.00,1.78,0.89,0.47,1.02,0.75,0.32,0.67,0.62,0.51,1.07,0.76,0.74
Mars,1.00,1.99,1.12,0.58,1.28,0.98,0.37,0.79,0.85,0.63,1.38,1.00,0.98
Avril,1.00,2.39,1.57,0.79,1.82,1.45,0.50,1.17,1.34,0.84,1.93,1.47,1.45
Mai,1.00,2.74,1.97,1.05,2.43,1.89,0.65,1.67,1.80,1.01,2.38,1.88,1.88
Juin,1.00,2.98,2.26,1.25,2.88,2.22,0.75,2.06,2.14,1.16,2.71,2.18,2.19
Juillet,1.00,2.87,2.12,1.13,2.62,2.05,0.70,1.87,1.98,1.14,2.64,2.06,2.05
Août,1.00,2.52,1.70,0.86,2.01,1.60,0.53,1.29,1.49,0.86,2.03,1.60,1.59
Septembre,1.00,2.14,1.28,0.76,1.64,1.18,0.41,0.91,1.02,0.66,1.48,1.15,1.15
Octobre,1.00,1.84,0.96,0.58,1.21,0.84,0.32,0.66,0.67,0.47,1.04,0.80,0.81
Novembre,1.00,1.74,0.86,0.42,0.94,0.72,0.36,0.76,0.62,0.51,1.07,0.75,0.73
Décembre,1.00,1.59,0.66,0.38,0.77,0.52,0.25,0.52,0.41,0.35,0.73,0.52,0.51
