# Nref (19 C) sous 400 m d'altitude
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 744 744 741 744 744 744 738 744
Février 672 672 672 672 672 670 672 664
Mars 738 737 730 727 737 699 699 715
Avril 695 664 640 698 677 412 482 390
Mai 172 310 324 519 502 - - -
Juin - - - - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 119 - - - - - - -
Octobre 644 434 144 656 272 533 53 -
Novembre 715 720 717 720 716 693 683 601
Décembre 744 744 744 744 744 744 744 739
