Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.65,0.72,0.41,0.84,0.60,0.27,0.56,0.47,0.37,0.81,0.58,0.58
Février,1.00,1.80,0.84,0.53,1.13,0.71,0.35,0.72,0.66,0.49,1.06,0.78,0.78
Mars,1.00,2.04,1.07,0.67,1.46,0.94,0.38,0.81,0.91,0.59,1.34,1.04,1.04
Avril,1.00,2.39,1.53,0.91,2.00,1.42,0.49,1.16,1.33,0.76,1.77,1.42,1.44
Mai,1.00,2.80,2.08,1.23,2.70,2.00,0.66,1.72,1.87,0.99,2.36,1.92,1.95
Juin,1.00,2.88,2.21,1.22,2.78,2.17,0.78,2.07,2.07,1.11,2.61,2.10,2.11
Juillet,1.00,2.81,2.37,1.16,2.64,2.29,0.74,1.92,1.96,1.06,2.51,2.01,2.01
Août,1.00,2.53,1.88,0.98,2.19,1.77,0.55,1.35,1.52,0.83,1.99,1.61,1.62
Septembre,1.00,2.13,1.18,0.74,1.60,1.08,0.35,0.77,0.96,0.56,1.33,1.08,1.11
Octobre,1.00,1.89,1.36,0.69,1.43,1.18,0.40,0.84,0.79,0.47,1.09,0.88,0.91
Novembre,1.00,1.76,0.81,0.48,1.03,0.68,0.37,0.80,0.66,0.47,1.04,0.77,0.76
Décembre,1.00,1.66,0.96,0.49,1.00,0.76,0.33,0.71,0.55,0.39,0.84,0.63,0.63
